date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:06	44785/44785	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Nov%202016%2003:59:00%20GMT	https://mobius.studio/themes/MobNews/LTR/index.html	C:/My%20Web%20Sites/mobnews/mobius.studio/themes/MobNews/LTR/index.html	(from )
11:13:07	327/327	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20May%202018%2010:13:11%20GMT	https://mobius.studio/robots.txt		(from )
11:13:11	2669/2669	---M--	200	added ('OK')	image/png	etag:%22a6d-540adde05df80%22	https://img.mobius.studio/themes/MobNews/LTR/assets/img/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/mobnews/img.mobius.studio/themes/MobNews/LTR/assets/img/favicons/apple-touch-icon.png	(from https://mobius.studio/themes/MobNews/LTR/index.html)
11:13:12	446/446	---M--	200	added ('OK')	image/png	etag:%221be-540adde1521c0%22	https://img.mobius.studio/themes/MobNews/LTR/assets/img/favicons/favicon-32x32.png	C:/My%20Web%20Sites/mobnews/img.mobius.studio/themes/MobNews/LTR/assets/img/favicons/favicon-32x32.png	(from https://mobius.studio/themes/MobNews/LTR/index.html)
11:13:12	220/220	---M--	200	added ('OK')	image/png	etag:%22dc-540adde1521c0%22	https://img.mobius.studio/themes/MobNews/LTR/assets/img/favicons/favicon-16x16.png	C:/My%20Web%20Sites/mobnews/img.mobius.studio/themes/MobNews/LTR/assets/img/favicons/favicon-16x16.png	(from https://mobius.studio/themes/MobNews/LTR/index.html)
11:13:14	526/526	---M--	200	added ('OK')	application/json	date:Mon,%2007%20Nov%202016%2003:59:01%20GMT	https://mobius.studio/themes/MobNews/LTR/manifest.json	C:/My%20Web%20Sites/mobnews/mobius.studio/themes/MobNews/LTR/manifest.json	(from https://mobius.studio/themes/MobNews/LTR/index.html)
11:13:18	29063/29063	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css	C:/My%20Web%20Sites/mobnews/maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css	(from https://mobius.studio/themes/MobNews/LTR/index.html)
11:13:19	8479/8479	---MC-	200	added ('OK')	text/javascript	date:Wed,%2009%20May%202018%2000:45:00%20GMT	https://cdn.ampproject.org/v0/amp-install-serviceworker-0.1.js	C:/My%20Web%20Sites/mobnews/cdn.ampproject.org/v0/amp-install-serviceworker-0.1.js	(from https://mobius.studio/themes/MobNews/LTR/index.html)
11:13:20	27191/27191	---MC-	200	added ('OK')	text/javascript	date:Wed,%2009%20May%202018%2000:45:00%20GMT	https://cdn.ampproject.org/v0/amp-form-0.1.js	C:/My%20Web%20Sites/mobnews/cdn.ampproject.org/v0/amp-form-0.1.js	(from https://mobius.studio/themes/MobNews/LTR/index.html)
11:13:21	206909/206909	---M--	200	added ('OK')	image/png	etag:%223283d-540addebcfa80%22	https://img.mobius.studio/themes/MobNews/LTR/assets/img/splashScreens/apple-touch-startup-image-750x1294.png	C:/My%20Web%20Sites/mobnews/img.mobius.studio/themes/MobNews/LTR/assets/img/splashScreens/apple-touch-startup-image-750x1294.png	(from https://mobius.studio/themes/MobNews/LTR/index.html)
